LINE NO,TEST PACK NO ,BOLT TORQUING NUMBER,TYPE OF BOLTING ,DATE,SUPERVISOR
K81-BD-0091/K8105A_A,K81-FPS1-BD-01-TP-001-001,J1,MANUAL,,MD MERAJ
K81-BD-5203/K8105A_A,K81-FPS1-BD-01-TP-001-001,J2,HYDRAULIC ,,SHAMNAD
K81-BD-0064/K8105T_A,K81-FPS1-BD-01-TP-001-002,J3,,,
K81-BD-5203/K8105A_A,K81-FPS1-BD-01-TP-001-003,J4,,,
K81-P-1821/K8105T_A,K81-FPS1-P-01-TP-002-001,J5,,,
K81-P-1821/K8105T_A,K81-FPS1-P-01-TP-002-002,J6,,,
K81-P-1996/K8105T_A,K81-FPS1-P-01-TP-002-003,J7,,,
K81-P-1996/K8105T_A,K81-FPS1-P-01-TP-002-003R,J8,,,
K81-P-1996/K8105T_A,K81-FPS1-P-01-TP-002-004,J9,,,
K81-BD-0090/K8105A_A,K81-FPS1-P-01-TP-003-001,J10,,,
K81-P-2023/K8105A_A,K81-FPS1-P-01-TP-003-003,J11,,,
K81-P-1819/K8105A_A,K81-FPS1-P-01-TP-005-001,J12,,,
K81-P-1959/K8105T_A,K81-FPS1-P-01-TP-005-002,J13,,,
K81-P-1819/K8105A_A,K81-FPS1-P-01-TP-005-003,J14,,,
K81-P-1819/K8105A_A,K81-FPS1-P-01-TP-005-004,J15,,,
K81-P-1964/K8104A_A,K81-FPS1-P-01-TP-006-001,J16,,,
K81-P-1964/K8104A_A,K81-FPS1-P-01-TP-006-002,J17,,,
K81-P-2024/K8105A_A,K81-FPS1-P-01-TP-007-001,J18,,,
K81-P-2024/K8105A_A,K81-FPS1-P-01-TP-007-002,J19,,,
K81-P-1966/K8105A_A,K81-FPS1-P-01-TP-008-001,J20,,,
K81-P-1966/K8105A_A,K81-FPS1-P-01-TP-008-002,J21,,,
K81-P-2032/K8105A_A,K81-FPS1-P-01-TP-009-001,J22,,,
K81-P-2032/K8105A_A,K81-FPS1-P-01-TP-009-002,J23,,,
K81-P-1965/K8104A_A,K81-FPS1-P-01-TP-010-001,J24,,,
K81-P-1965/K8104A_A,K81-FPS1-P-01-TP-010-002,J25,,,
K81-P-1997/K8105A_A,K81-FPS1-P-01-TP-011-001,J26,,,
K81-P-1997/K8105A_A,K81-FPS1-P-01-TP-011-002,J27,,,
K81-P-1819/K8105A_A,K81-FPS1-P-01-TP-0300-001,J28,,,
K81-BD-5213/K8105A_A,K81-FPS2-BD-01-TP-001-001,J29,,,
K81-BD-5214/K8105A_A,K81-FPS2-BD-01-TP-001-001,J30,,,
K81-BD-5220/K8105T_A,K81-FPS2-BD-01-TP-001-002,J31,,,
K81-BD-5214/K8105A_A,K81-FPS2-BD-01-TP-001-003,J32,,,
K81-P-2014/K8105A_A,K81-FPS2-P-01-TP-002-001,J33,,,
K81-P-2014/K8105A_A,K81-FPS2-P-01-TP-002-002,J34,,,
K81-BD-5215/K8105A_A,K81-FPS2-P-01-TP-003-001,J35,,,
K81-P-2096/K8105A_A,K81-FPS2-P-01-TP-003-002,J36,,,
K81-P-2096/K8105A_B,K81-FPS2-P-01-TP-003-002,J37,,,
K81-P-2095/K8105T_A,K81-FPS2-P-01-TP-004-001,J38,,,
K81-P-2095/K8105T_A,K81-FPS2-P-01-TP-004-002,J39,,,
K81-P-2095/K8105T_A,K81-FPS2-P-01-TP-004-003,J40,,,
K81-P-1962/K8105T_A,K81-FPS2-P-01-TP-005-001,J41,,,
